,name,location.lat,location.lon,minority_serving.historically_black,act_scores.midpoint.cumulative,sat_scores.average.overall,demographics.race_ethnicity.white,net_price_less_30000,net_price_30001_48000,net_price_48001_75000,net_price_75001_110000,net_price_above_110001,demographics.women,locale,admission_rate.overall,size,early_pay,ownership,percent_stem,rank_lac,Rank,Description,division
1115,University of South Carolina-Upstate,34.996403,-81.97058299999999,0.0,20.0,950.0,0.5595,11795.0,12839.0,15682.0,16881.0,17849.0,0.6406,22.0,0.5604,5094.0,43500.0,1,10.0,0,0.0,"For Sports Fans, State School",non_ncaa
1116,Voorhees College,33.307455,-81.130104,1.0,21.0,966.0,0.0138,13553.0,13964.0,14567.0,24069.0,21812.0,0.5714,41.0,0.9289,434.0,36400.0,2,13.0,0,0.0,"Private School, Religious",non_ncaa
1117,Winthrop University,34.939066,-81.02892800000001,0.0,23.0,1044.0,0.5802,13311.0,13880.0,15827.0,18147.0,19492.0,0.6755,13.0,0.6709999999999999,4786.0,41600.0,1,9.0,0,0.0,"For Sports Fans, State School",D1
1118,Wofford College,34.957914,-81.934572,0.0,26.0,1170.0,0.8094,16496.0,17362.0,20461.0,22405.0,28551.0,0.5045,13.0,0.7181,1653.0,47200.0,2,26.0,71,0.0,"Liberal Arts School, Private School, Religious, For Sports Fans",D1
1119,Augustana University,43.525939,-96.738507,0.0,26.0,1164.0,0.8439,13273.0,15073.0,17605.0,20470.0,20845.0,0.5976,12.0,0.6507,1563.0,44800.0,2,15.0,0,0.0,"Private School, Religious",D2
1120,Black Hills State University,44.495536,-103.870009,0.0,21.0,988.0,0.8305,12368.0,13162.0,15992.0,17152.0,17109.0,0.6255,32.0,0.8404,2849.0,39000.0,1,9.0,0,0.0,State School,D2
1121,Dakota State University,44.0127,-97.10960899999999,0.0,23.0,1047.0,0.8434,11799.0,12160.0,15710.0,16731.0,16684.0,0.3734,32.0,0.8125,1896.0,45900.0,1,53.0,0,0.0,"Engineering, State School",non_ncaa
1122,Dakota Wesleyan University,43.695995,-98.03056600000001,0.0,21.0,982.0,0.8818,18636.0,20562.0,17995.0,19219.0,19733.0,0.5635,33.0,0.7438,795.0,38500.0,2,7.0,0,0.0,"Private School, Religious",non_ncaa
1123,Mount Marty College,42.874475,-97.409904,0.0,22.0,1030.0,0.8051,17499.0,18128.0,20570.0,20210.0,22227.0,0.6,33.0,0.7255,585.0,39000.0,2,1.0,0,0.0,"Private School, Religious",non_ncaa
1124,Northern State University,45.452555,-98.4837,0.0,22.0,1024.0,0.8258,12249.0,12402.0,15702.0,16892.0,16853.0,0.5669,33.0,0.7207,1561.0,41700.0,1,11.0,0,0.0,State School,D2
1125,Presentation College,45.482833,-98.49077,0.0,20.0,925.0,0.6782,20516.0,20559.0,22685.0,22722.0,22006.0,0.6409999999999999,33.0,0.623,752.0,34700.0,2,0.0,0,0.0,,non_ncaa
1126,South Dakota State University,44.31942,-96.783415,0.0,23.0,1068.0,0.8831,17993.0,19264.0,21725.0,23331.0,23506.0,0.5218,33.0,0.917,9825.0,47900.0,1,16.0,0,202.0,"Founded in 1881, South Dakota State University is a public institution. The school has 32.4 percent of its classes with fewer than 20 students, and the student-faculty ratio at South Dakota State University is 17:1. ",D1
1127,University of Sioux Falls,43.531574,-96.738229,0.0,23.0,1046.0,0.8911,17479.0,17912.0,18611.0,21671.0,22462.0,0.5924,12.0,0.9215,1185.0,41700.0,2,5.0,0,0.0,"Private School, Religious",D2
1128,University of South Dakota,42.784558000000004,-96.924664,0.0,23.0,1049.0,0.8540000000000001,13344.0,13907.0,16430.0,17887.0,18119.0,0.6198,32.0,0.7354,6205.0,45600.0,1,8.0,0,202.0,"Founded in 1862, University of South Dakota is a public institution. University of South Dakota offers a Greek system, where 23 percent of the student body is involved in a sorority and 14 percent is involved in a fraternity. ",D1
1129,Austin Peay State University,36.533319,-87.35408100000001,0.0,22.0,1011.0,0.6302,9096.0,11312.0,13679.0,15286.0,15787.0,0.5841,12.0,0.8771,8915.0,42800.0,1,10.0,0,0.0,"For Sports Fans, State School",D1
1130,Belmont University,36.133866,-86.794715,0.0,26.0,1158.0,0.7994,23908.0,25636.0,31894.0,34731.0,38499.0,0.6176,11.0,0.8029,5933.0,44000.0,2,3.0,0,0.0,"Private School, Religious, For Sports Fans",D1
1131,Bethel University,36.139271,-88.516162,0.0,20.0,928.0,0.4618,17346.0,18076.0,18190.0,18616.0,18686.0,0.5705,32.0,0.8399,4363.0,34700.0,2,0.0,0,0.0,,D3
1132,Bryan College-Dayton,35.495721,-85.01659599999999,0.0,22.0,1016.0,0.8223,11399.0,14459.0,16219.0,19764.0,20616.0,0.5434,32.0,0.4553,968.0,39000.0,2,2.0,0,0.0,"Business, Private School, Religious",non_ncaa
1133,Carson-Newman University,36.122223999999996,-83.492183,0.0,23.0,1039.0,0.8328,11767.0,13842.0,14888.0,19673.0,21287.0,0.5745,23.0,0.5883,1711.0,40900.0,2,5.0,0,0.0,"Private School, Religious",non_ncaa
1134,Christian Brothers University,35.127437,-89.983241,0.0,24.0,1105.0,0.4339,5567.0,7763.0,8768.0,10662.0,10245.0,0.5334,11.0,0.4597,1408.0,48800.0,2,15.0,0,0.0,"Private School, Religious",D2
1135,Cumberland University,36.204243,-86.29966,0.0,21.0,989.0,0.6276,13925.0,17008.0,18516.0,18898.0,20719.0,0.5935,31.0,0.4906,1144.0,43200.0,2,4.0,0,0.0,Private School,non_ncaa
1136,Lipscomb University,36.104690000000005,-86.799304,0.0,26.0,1176.0,0.7652,20257.0,20945.0,24230.0,25463.0,27544.0,0.6154,11.0,0.6077,3024.0,46000.0,2,10.0,0,176.0,"Founded in 1891, Lipscomb University is a private institution. The school has 57.1 percent of its classes with fewer than 20 students, and the student-faculty ratio at Lipscomb University is 12:1. ",D1
1137,East Tennessee State University,36.304077,-82.366734,0.0,23.0,1068.0,0.8215,12516.0,14608.0,17219.0,18916.0,18661.0,0.5588,13.0,0.7922,10960.0,42000.0,1,8.0,0,0.0,"Research University, For Sports Fans, State School",D1
1138,Fisk University,36.16912,-86.80567099999999,1.0,20.0,937.0,0.0074,17995.0,16860.0,14009.0,16724.0,7819.0,0.6514,11.0,0.8093,806.0,43200.0,2,33.0,229,0.0,"Liberal Arts School, Private School",non_ncaa
1139,Freed-Hardeman University,35.440073,-88.639418,0.0,24.0,1101.0,0.8508,14647.0,15188.0,18343.0,18351.0,19155.0,0.5659,32.0,0.9185,1260.0,41700.0,2,7.0,0,0.0,"Private School, Religious",non_ncaa
1140,King University,36.585899,-82.156532,0.0,22.0,1005.0,0.8137,17549.0,17425.0,18439.0,20353.0,21674.0,0.6517,13.0,0.4401,2357.0,41400.0,2,7.0,0,0.0,"Private School, Religious",D2
1141,Lane College,35.628197,-88.806832,1.0,16.0,758.0,0.0145,13573.0,13793.0,14157.0,22699.0,33903.0,0.4571,13.0,0.5454,1376.0,36200.0,2,21.0,0,0.0,,D2
1142,Le Moyne-Owen College,35.118641,-90.034101,1.0,16.0,760.0,0.0011,8690.0,9629.0,10995.0,11247.0,14451.0,0.6423,11.0,1.0,945.0,38700.0,2,11.0,0,0.0,"Private School, Religious",non_ncaa
1143,Lee University,35.166166,-84.870018,0.0,24.0,1088.0,0.7878,17052.0,17482.0,19518.0,20137.0,20476.0,0.5852,13.0,0.8547,4151.0,38600.0,2,3.0,0,0.0,"Private School, Religious",D2
1144,Lincoln Memorial University,36.581284000000004,-83.65881800000001,0.0,23.0,1055.0,0.8270000000000001,8416.0,13038.0,16124.0,17355.0,18023.0,0.722,32.0,0.7437,1457.0,41100.0,2,10.0,0,0.0,Private School,D2
1145,Maryville College,35.751969,-83.963853,0.0,23.0,1052.0,0.7788,12014.0,14523.0,16229.0,20297.0,21198.0,0.5406,21.0,0.6678,1171.0,42200.0,2,16.0,229,0.0,"Liberal Arts School, Private School, Religious",D3
1146,University of Memphis,35.118874,-89.938062,0.0,22.0,1029.0,0.5019,10883.0,12649.0,15638.0,16965.0,17086.0,0.5947,11.0,0.3978,15553.0,45300.0,1,11.0,0,0.0,"Research University, For Sports Fans, State School",D1
1147,Middle Tennessee State University,35.849139,-86.362094,0.0,22.0,1031.0,0.6447,7917.0,10092.0,13656.0,15501.0,15883.0,0.5373,12.0,0.726,19446.0,44200.0,1,9.0,0,0.0,"Research University, For Sports Fans, State School",D1
1148,Rhodes College,35.154424,-89.989187,0.0,30.0,1306.0,0.7440000000000001,17996.0,21172.0,22022.0,27951.0,33873.0,0.5633,11.0,0.4687,2031.0,47900.0,2,30.0,51,0.0,"Liberal Arts School, Private School, Religious",D3
1149,Sewanee-The University of the South,35.20443,-85.917772,0.0,22.0,777.0,0.8247,14115.0,14725.0,18093.0,22891.0,33582.0,0.5216,42.0,0.4059,1689.0,46000.0,2,14.0,0,0.0,"Liberal Arts School, Private School, Religious",non_ncaa
1150,Tennessee Wesleyan University,35.444939,-84.592647,0.0,22.0,1019.0,0.7751,10591.0,11529.0,12029.0,13399.0,16895.0,0.6476,32.0,0.6479,996.0,40900.0,2,4.0,0,0.0,"Private School, Religious",non_ncaa
1151,The University of Tennessee-Chattanooga,35.048246999999996,-85.299812,0.0,24.0,1087.0,0.7483,7389.0,10436.0,14664.0,15479.0,15481.0,0.5619,12.0,0.7922,9976.0,44200.0,1,17.0,0,0.0,"For Sports Fans, State School",non_ncaa
1152,The University of Tennessee-Knoxville,35.955093,-83.92969599999999,0.0,27.0,1214.0,0.7897,9876.0,13893.0,21900.0,23563.0,23922.0,0.4929,12.0,0.763,21661.0,48000.0,1,20.0,0,0.0,"Research University, For Sports Fans, State School",non_ncaa
1153,The University of Tennessee-Martin,36.340338,-88.864211,0.0,23.0,1050.0,0.7655,4675.0,6717.0,10603.0,11412.0,11390.0,0.5773,33.0,0.6965,5988.0,42500.0,1,9.0,0,0.0,"For Sports Fans, State School",non_ncaa
1154,Tennessee Technological University,36.174659000000005,-85.503957,0.0,24.0,1102.0,0.8140000000000001,10477.0,12009.0,15756.0,16989.0,17379.0,0.4392,33.0,0.6832,9475.0,51000.0,1,26.0,0,220.0,"Founded in 1915, Tennessee Technological University is a public institution. Tennessee Technological University follows a semester-based academic calendar and its admissions are considered more selective. ",D1
1155,Trevecca Nazarene University,36.142115000000004,-86.753566,0.0,22.0,1026.0,0.6884,12855.0,14471.0,15067.0,16872.0,20960.0,0.5704,11.0,0.7252,1762.0,43800.0,2,5.0,0,0.0,"Private School, Religious, Research University",D2
1156,Tusculum College,36.172558,-82.761716,0.0,21.0,960.0,0.74,16911.0,18576.0,19453.0,20339.0,21332.0,0.5578,32.0,0.6896,1619.0,40500.0,2,3.0,0,0.0,"Private School, Religious",D2
1157,Union University,35.676896,-88.858524,0.0,26.0,1163.0,0.7034,17903.0,22594.0,25424.0,27824.0,29568.0,0.6315,13.0,0.6913,2239.0,44300.0,2,5.0,0,169.0,"Founded in 1823, Union University is a private institution. Union University follows a 4-1-4-based academic calendar and its admissions are considered more selective. ",D2
1158,Vanderbilt University,36.14443,-86.804875,0.0,34.0,1498.0,0.5491,6947.0,5615.0,9578.0,15785.0,34081.0,0.4953,11.0,0.1168,6857.0,61100.0,2,22.0,0,15.0,"Vanderbilt University offers a wide range of student activities. Located in Nashville, or Music City, there are plenty of off-campus options for dining, shopping, music and entertainment. On campus, Greek organizations play a big role in social life, with approximately 40 percent of students affiliated with Greek life. All undergraduate students at Vanderbilt are required to live on campus, and freshmen live together in The Commons, which has six LEED certified green dorms. The Commodores, named for Vanderbilt founder ""Commodore"" Cornelius Vanderbilt, have teams in the NCAA Division I Southeastern Conference. About 35 percent of students take advantage of Vanderbilt's study abroad programs, which are offered in more than 35 countries. ",D1
1159,Abilene Christian University,32.46915,-99.70954,0.0,25.0,1092.0,0.6449,19414.0,20967.0,22666.0,24493.0,28991.0,0.5919,12.0,0.4992,3695.0,46400.0,2,7.0,0,0.0,"Private School, Religious, For Sports Fans",D1
1160,Angelo State University,31.44145,-100.466495,0.0,21.0,970.0,0.5138,14012.0,13620.0,14888.0,15191.0,15561.0,0.5489,13.0,0.7672,5325.0,44600.0,1,9.0,0,0.0,State School,D2
